               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3113,             0.62475,               1.571,             0.98937,             0.98681,             0.98697,             0.71783,                   0,                   0,                   0,            0.070095,           0.0033228,           0.0033228
                   1,              1.3268,             0.64116,              1.5938,             0.98438,             0.98197,              0.9929,             0.73428,                   0,                   0,                   0,            0.039436,           0.0059971,           0.0059971
                   2,              1.3458,             0.65573,              1.6041,             0.92233,             0.86638,             0.93064,             0.64425,                   0,                   0,                   0,           0.0081173,           0.0080115,           0.0080115
                   3,              1.3686,             0.68707,              1.6151,             0.96624,             0.94082,             0.96068,             0.69485,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,              1.3717,             0.68815,              1.6104,              0.9787,             0.96182,             0.98397,             0.71043,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,              1.3512,             0.66859,              1.5993,             0.98787,             0.95021,             0.97753,             0.69737,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,              1.3146,              0.6361,              1.5761,             0.98194,             0.98727,             0.98308,             0.73838,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,              1.2856,             0.61208,              1.5609,             0.99357,              0.9835,             0.99407,              0.7424,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,              1.2755,             0.60262,              1.5578,             0.98105,             0.98834,             0.97957,             0.73586,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,              1.2692,             0.58552,              1.5548,             0.97895,             0.98654,                0.98,             0.72716,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
